model,gamma,dT_O,dT_L_x
INM-CM4-8,1.076414147692992,1.3584595,1.462265024867948
INM-CM4-8,1.0720887472099692,1.3584595,1.456389143490481
INM-CM4-8,1.0604429699752753,1.3584595,1.4405688267711274
INM-CM4-8,1.04487458617733,1.3584595,1.4194198079011626
INM-CM4-8,1.0342328147903983,1.3584595,1.404963392463757
INM-CM4-8,1.02033870737969,1.3584595,1.3860888102576598
INM-CM4-8,1.0137818486348116,1.3584595,1.3771815832055216
INM-CM4-8,1.0160202992340754,1.3584595,1.3802224276873725
INM-CM4-8,1.0272890778993835,1.3584595,1.3955306071186575
INM-CM4-8,1.0509781754057235,1.3584595,1.4277112866725714
INM-CM4-8,1.093882236272342,1.3584595,1.4859947157454074
INM-CM4-8,1.1888403761753632,1.3584595,1.6149915029989956
INM-CM4-8,1.2340092363871584,1.3584595,1.676351570257881
INM-CM4-8,1.2748994207231157,1.3584595,1.7318992296258133
INM-CM4-8,1.2965797608702136,1.3584595,1.76135109366187
INM-CM4-8,1.3005456427471431,1.3584595,1.7667385835734626
