model,percentile,alpha_O,alpha_L
NorESM2-LM,1,0.06441756,0.06668076580778419
NorESM2-LM,2,0.06441756,0.06666329069435019
NorESM2-LM,5,0.06441756,0.06662187681455618
NorESM2-LM,10,0.06441756,0.06658092835477039
NorESM2-LM,15,0.06441756,0.0664964958680466
NorESM2-LM,25,0.06441756,0.06633165571512892
NorESM2-LM,35,0.06441756,0.06615719127051191
NorESM2-LM,45,0.06441756,0.06595757952153851
NorESM2-LM,55,0.06441756,0.06574802628060453
NorESM2-LM,65,0.06441756,0.06552672489895443
NorESM2-LM,75,0.06441756,0.06525067993776341
NorESM2-LM,85,0.06441756,0.06484555025299232
NorESM2-LM,90,0.06441756,0.06455874253023018
NorESM2-LM,95,0.06441756,0.0641572843936404
NorESM2-LM,98,0.06441756,0.063738797824202
NorESM2-LM,99,0.06441756,0.06343362706162713
