,model,percentile,q_L_x_hist,q_O_x_hist,q_L_x_ssp245,q_O_x_ssp245,T_L_x_hist,T_O_x_hist,T_L_x_ssp245,T_O_x_ssp245
0,ACCESS-CM2,1,0.011970960535109043,0.01650325022637844,0.014152397401630878,0.019273528829216957,298.6867980957031,299.6121826171875,302.3584289550781,302.061767578125
1,ACCESS-CM2,2,0.012030225247144699,0.016557350754737854,0.014213243499398232,0.019337456673383713,298.81585693359375,299.673095703125,302.4855651855469,302.125244140625
2,ACCESS-CM2,5,0.012180747464299202,0.016699135303497314,0.014366911724209785,0.019504092633724213,299.108154296875,299.828125,302.77490234375,302.2818908691406
3,ACCESS-CM2,10,0.012357228435575962,0.01690051145851612,0.014526331797242165,0.019736897200345993,299.49285888671875,300.03759765625,303.1593933105469,302.4943542480469
4,ACCESS-CM2,15,0.012464238330721855,0.017073312774300575,0.014609238132834435,0.019935864955186844,299.82769775390625,300.2156677246094,303.49761962890625,302.6741027832031
5,ACCESS-CM2,25,0.012567470781505108,0.01735878176987171,0.014657098799943924,0.020268218591809273,300.43109130859375,300.516357421875,304.1125183105469,302.9785461425781
6,ACCESS-CM2,35,0.01255857665091753,0.017587149515748024,0.014563505537807941,0.02053653635084629,300.9883117675781,300.7751159667969,304.6861267089844,303.2372741699219
7,ACCESS-CM2,45,0.012358030304312706,0.01777750253677368,0.014236973598599434,0.020754152908921242,301.53826904296875,301.017333984375,305.26641845703125,303.4761962890625
8,ACCESS-CM2,55,0.011922801844775677,0.01794874668121338,0.013675021007657051,0.02093808725476265,302.1348876953125,301.2569885253906,305.9074401855469,303.7107849121094
9,ACCESS-CM2,65,0.01121104508638382,0.018107710406184196,0.012833031825721264,0.02110690250992775,302.8380126953125,301.5058898925781,306.6659851074219,303.95831298828125
10,ACCESS-CM2,75,0.010064258240163326,0.01826312579214573,0.011600669473409653,0.021273627877235413,303.7388000488281,301.78326416015625,307.6337890625,304.23944091796875
11,ACCESS-CM2,85,0.008234946988523006,0.018441691994667053,0.009852610528469086,0.02145584672689438,305.04180908203125,302.1378173828125,308.9803466796875,304.6026916503906
12,ACCESS-CM2,90,0.007139166817069054,0.018557580187916756,0.008686893619596958,0.02156984992325306,305.978271484375,302.3914794921875,309.9290466308594,304.8676452636719
13,ACCESS-CM2,95,0.005993715953081846,0.018719859421253204,0.007452875841408968,0.021735327318310738,307.2868957519531,302.8055725097656,311.29010009765625,305.3103942871094
14,ACCESS-CM2,98,0.005276961717754602,0.01885150372982025,0.006637144833803177,0.021831929683685303,308.5560607910156,303.3677673339844,312.61669921875,305.92218017578125
15,ACCESS-CM2,99,0.004963306710124016,0.018828576430678368,0.006237824447453022,0.021739231422543526,309.30181884765625,303.8343200683594,313.3716735839844,306.4372253417969
