,model,period,span,startShared,stopShared
0,ACCESS-CM2,abrupt-4xCO2,149,950,1099
1,ACCESS-CM2,piControl,499,950,1449
2,ACCESS-ESM1-5,abrupt-4xCO2,999,101,1100
3,ACCESS-ESM1-5,piControl,999,101,1100
4,CESM2,abrupt-4xCO2,998,1,999
5,CESM2,piControl,1199,1,1200
6,CESM2-FV2,abrupt-4xCO2,149,1,150
7,CESM2-FV2,piControl,499,1,500
8,CESM2-WACCM,abrupt-4xCO2,149,1,150
9,CESM2-WACCM,piControl,498,1,499
10,CESM2-WACCM-FV2,abrupt-4xCO2,149,1,150
11,CESM2-WACCM-FV2,piControl,499,1,500
12,CMCC-CM2-SR5,abrupt-4xCO2,164,1850,2014
13,CMCC-CM2-SR5,piControl,499,1850,2349
14,CMCC-ESM2,abrupt-4xCO2,124,1875,1999
15,CMCC-ESM2,piControl,499,1850,2349
16,CNRM-CM6-1,abrupt-4xCO2,149,1850,1999
17,CNRM-CM6-1,piControl,499,1850,2349
18,CNRM-CM6-1-HR,abrupt-4xCO2,149,1850,1999
19,CNRM-CM6-1-HR,piControl,299,1850,2149
20,CNRM-ESM2-1,abrupt-4xCO2,149,1850,1999
21,CNRM-ESM2-1,piControl,499,1850,2349
22,CanESM5,abrupt-4xCO2,150,1850,2000
23,CanESM5,piControl,1050,5550,6600
24,EC-Earth3,abrupt-4xCO2,159,1850,2009
25,EC-Earth3,piControl,500,2259,2759
26,EC-Earth3-CC,abrupt-4xCO2,164,1850,2014
27,EC-Earth3-CC,piControl,504,1850,2354
28,EC-Earth3-Veg-LR,abrupt-4xCO2,150,1850,2000
29,EC-Earth3-Veg-LR,piControl,500,2300,2800
30,GFDL-CM4,abrupt-4xCO2,149,1,150
31,GFDL-CM4,piControl,499,151,650
32,HadGEM3-GC31-LL,abrupt-4xCO2,149,1850,1999
33,HadGEM3-GC31-LL,piControl,499,1850,2349
34,HadGEM3-GC31-MM,abrupt-4xCO2,149,1850,1999
35,HadGEM3-GC31-MM,piControl,499,1850,2349
36,IITM-ESM,abrupt-4xCO2,164,1850,2014
37,IITM-ESM,piControl,199,1926,2125
38,IPSL-CM5A2-INCA,abrupt-4xCO2,149,1850,1999
39,IPSL-CM5A2-INCA,piControl,249,1850,2099
40,KIOST-ESM,abrupt-4xCO2,150,1850,2000
41,KIOST-ESM,piControl,649,2689,3338
42,MIROC-ES2H,abrupt-4xCO2,139,1850,1989
43,MIROC-ES2H,piControl,419,1850,2269
44,MIROC-ES2L,abrupt-4xCO2,149,1850,1999
45,MIROC-ES2L,piControl,499,1850,2349
46,MIROC6,abrupt-4xCO2,249,3200,3449
47,MIROC6,piControl,499,3200,3699
48,NorESM2-LM,abrupt-4xCO2,499,1,500
49,NorESM2-LM,piControl,500,1600,2100
50,NorESM2-MM,abrupt-4xCO2,149,1,150
51,NorESM2-MM,piControl,499,1200,1699
52,SAM0-UNICON,abrupt-4xCO2,149,1850,1999
53,SAM0-UNICON,piControl,699,1,700
54,TaiESM1,abrupt-4xCO2,139,1,140
55,TaiESM1,piControl,499,201,700
56,UKESM1-0-LL,abrupt-4xCO2,149,1850,1999
57,UKESM1-0-LL,piControl,1099,1960,3059
